Language: North_Sami-Giella, Lemma Acc:87.53266144083614, Lemma Lev. Dist: 0.49608062709966405, Morph acc: 69.05561776782382, F1: 63.540290620871865 
Language: French-GSD, Lemma Acc:97.05619317334923, Lemma Lev. Dist: 0.0703035723157947, Morph acc: 91.63561385203955, F1: 90.69422689639741 
Language: Japanese-Modern, Lemma Acc:85.38622129436325, Lemma Lev. Dist: 0.21224773834377175, Morph acc: 92.83228949199722, F1: 92.81924301379554 
Language: Swedish-PUD, Lemma Acc:82.78855975485189, Lemma Lev. Dist: 0.507150153217569, Morph acc: 86.15934627170583, F1: 84.45209409064832 
Language: Arabic-PADT, Lemma Acc:94.38926270070134, Lemma Lev. Dist: 0.17124141122859482, Morph acc: 78.99177614012603, F1: 76.99443413729128 
Language: Basque-BDT, Lemma Acc:95.42028510568572, Lemma Lev. Dist: 0.11584466655743077, Morph acc: 68.73668687530723, F1: 62.69926650366748 
Language: Urdu-UDTB, Lemma Acc:95.20035885167464, Lemma Lev. Dist: 0.09150717703349283, Morph acc: 66.17075358851675, F1: 64.35358593226354 
Language: Irish-IDT, Lemma Acc:85.06930693069307, Lemma Lev. Dist: 0.43326732673267326, Morph acc: 57.148514851485146, F1: 51.650572647653256 
Language: Bambara-CRB, Lemma Acc:88.23981552651806, Lemma Lev. Dist: 0.26364335126825517, Morph acc: 91.6218293620292, F1: 90.28520499108734 
Language: Dutch-Alpino, Lemma Acc:94.9719330230773, Lemma Lev. Dist: 0.14964256584944585, Morph acc: 90.74989205008876, F1: 89.7732181425486 
Language: Czech-FicTree, Lemma Acc:97.38651179329145, Lemma Lev. Dist: 0.05979613606732251, Morph acc: 77.29050610406543, F1: 72.10259773381425 
Language: Danish-DDT, Lemma Acc:93.160850381067, Lemma Lev. Dist: 0.20487364620938628, Morph acc: 82.29041315683915, F1: 79.57882421760749 
